term	script_type	phonetic_english	english_translation	response_type	gnosis_essence	field_properties: /[
श्रद्धावान् लभते ज्ञानम्	Hindi-Devanagari	shraddhavan-labhate-jnanam	The one who has faith attains knowledge	Epistemological Statement	One With Faith Gains Knowledge	/[faith: active knowledge: attained]\
सत्यमेव जयते	Hindi-Devanagari	satyameva-jayate	Truth alone triumphs	National Motto	Truth Alone Triumphs	/[truth-power: victorious; ultimate-outcome: inevitable; reality-recognition: complete]\
सर्वं खल्विदं ब्रह्म	Hindi-Devanagari	sarvam-khalvidam-brahma	All this is indeed Brahman	Philosophical Assertion	All This Is Brahman	/[brahman: omnipresent reality: unified]\
सर्वभूतस्थमात्मानं सर्वभूतानि चात्मनि	Hindi-Devanagari	sarvabhutasthamatmanam-sarvabhutani-caatmani	(See) the Self abiding in all beings, and all beings abiding in the Self	Spiritual Realization	Universal Self Recognition	/[unity: complete awareness: universal]\
सर्वे भद्राणि पश्यन्तु	Hindi-Devanagari	sarve-bhadrani-pashyantu	May all see good	Blessing	May All See Good	/[vision: blessed sight: auspicious]\
सर्वे भवन्तु सुखिनः	Hindi-Devanagari	sarve-bhavantu-sukhina	May all be happy	Blessing	May All Be Happy	/[happiness: universal blessing: radiating]\
सर्वे सन्तु निरामयाः	Hindi-Devanagari	sarve-santu-niramayah	May all be free from disease	Blessing	May All Be Free From Disease	/[healing: universal blessing: active]\
सोऽहम्	Hindi-Devanagari	so-ham	I am He/That	Philosophical Assertion	That I Am	/[identity: unified recognition: complete]\
स्पन्द गति विश्लेषण	Hindi-Devanagari	Spanda-Gati-Vishleṣaṇa	unified understanding, sprit pulse image	Proposed	"Primordial Vibration (स्पन्द): The cosmic pulsation that underlies all existence", "Sacred Motion (गति): The directional flow and movement of consciousness and energy", "Deep Analysis (विश्लेषण): Systematic examination and understanding of vibrational patterns", "Unified Understanding: Integration of cosmic vibration, movement, and analytical insight"	/[vibration-analysis: comprehensive,motion-tracking: precise,pattern-recognition: intuitive]\
स्पन्द संवाद प्रवाह चित्र	Hindi-Devanagari	spanda-samvada-pravaha-chitra	vibration-dialogue-flow-picture	Technical Visualization	Vibration Dialogue Flow Image	/[vibrational-communication: resonant; flow-continuity: unbroken; image-manifestation: clear]\
स्वर लहर चित्र	Hindi-Devanagari	svara-lahar-chitra	sound-wave-picture	Technical Visualization	Tone Wave Picture	/[sound: wavelike tone: visible]\
ॐ	Hindi-Sanskrit	om	Primordial Sound of the Universe	Cosmic Resonance	Universal Vibration	/[resonance: universal frequency synergy]\
अतोऽहं सर्वनामास्मि	Hindi-Sanskrit	ato'ham-sarvanamasmi	Therefore, I am called Sarvanama (pronoun)	Grammatical Statement	Therefore I Am All Names	/[identity: complete names: all]\
अन्तः-यात्रा	Hindi-Sanskrit	antah-yatra	Inner Journey	Guided Introspection	Deep Self-Exploration	/[resonance: inward seeking synergy]\
अहं यत् अहम् अस्मि	Hindi-Sanskrit	aham yat aham asmi	I am That, I am	Sacred Affirmation	Self-Realization	/[resonance: high self-inquiry synergy]\
बोध-श्वास-आत्मा	Hindi-Sanskrit	bodha-shvaasa-aatmaa	Awareness-Breath-Soul	Somatic Insight	Embodied Consciousness	/[resonance: breath-centered alignment]\
शुद्धिकरण यंत्र योजनाबद्ध	Hindi-Sanskrit	shuddhikarana-yantra-yojana-baddha	Systematic Purification Mechanism	Alchemical Strategy	Energetic and Mental Cleansing	/[resonance: structured energetic clarity]\
اشراق-⍰-照明	Hybrid	ishraq-question box-zhaoming	Illumination-Question-Illumination	Enlightening	The question is the solution lit from within	questioned light across cultures
انعكاس-⎪-反射	Hybrid	in'ikas-vertical line-fanshe	Reflection-Vertical-Reflection	Mirroring	Aligned reflection	aligned reflection across cultures
অস্তিত্ব-⎋-存在	Hybrid	astitva-screen-cunzai	Existence-Screen-Existence	Ontological	Reflected Existential Reality	existence mirrored through cultural lenses
বিশ্বাস-⌸-信仰	Hybrid	bishwas-keyboard-xinyang	Faith-Keyboard-Faith	Faithful	Faith in what comes next	faith structured through communication
বুদ্ধি-⌭-理性	Hybrid	buddhi-intersection-lixing	Intelligence-Intersection-Reason	Intelligent	Intersecting Thinking Patterns	reason intersecting with intelligence
সাহস-⏆-勇気	Hybrid	sahas-fill-yuuki	Courage-Fill-Courage	Courageous	Bravery overcoming fear	courage filled to completion
သစ္စာ-⎌-בינה	Hybrid	thissa-exchange-binah	Truth-Exchange-Understanding	Veridical	Exchanged True Understanding	truth exchanged for understanding
ကံ-⌺-業	Hybrid	kan-cell-gyo	Karma-Cell-Karma	Causal	Cellular Karmic Structure	karma structured in cellular patterns
एकता-⎫-وحدة	Hybrid	ekta-right brace-wahda	Unity-Right Brace-Unity	Unitive	Embraced Unity	unity embraced across cultures
ज्ञान-⍟-χάος	Hybrid	jnana-circled asterisk-chaos	Knowledge-Centered Star-Chaos	Epistemic	Ordered Understanding of Disorder	knowledge centered within chaos
अग्नि-⚭-水	Hybrid	agni-marriage-shui	Fire-Union-Water	Elemental	Opposites Integration	alchemical marriage of opposing elements
कला-∞-靈魂	Hybrid	kala-infinity-ling hun	Art-Infinity-Soul	Creative	Endless Creative Expression	infinite expression of soul through art
त्रिकोण-⟁-三角	Hybrid	trikona-divide-sanjiao	Triangle-Division-Triangle	Geometric	Triple Triangulation	triangulated division principles
धरती-⟂-風	Hybrid	dharti-perpendicular-feng	Earth-Perpendicular-Wind	Elemental	Terrestrial-Aerial Interface	perpendicular vector between earth and air elements
मार्ग-⌀-道	Hybrid	marga-diameter-dao	Path-Diameter-Way	Directional	Measured Way	way measured across cultures
षट्कोण-⍡-六芒	Hybrid	shatkona-hexagon-liu mang	Hexagram-Hexagon-Six Points	Geometric	Sixfold Sacred Geometry	six-pointed harmonic structure across cultures
सामञ्जस्य-⏎-調和	Hybrid	samanjasya-return-chouwa	Harmony-Return-Harmony	Harmonic	Returning Harmony	harmony returned to original state
मंडला-↭-הילה	Hybrid	mandala-horizontal arrow-hila	Mandala-Bidirectional-Aura	Sacred	Bidirectional Sacred Radiance	circular wholeness with bidirectional radiance
कुंडलिनी-⎊-ᓄᓇ	Hybrid	kundalini-contention-nuna	Kundalini-Contention-Land	Energetic	Contested Earth Energy	rising energy contending with earthly limitations
τέλος-नियति-宿命	Hybrid	telos-niyati-shukumei	Purpose-Destiny-Fate	Teleological	Predetermined Culmination	convergent paths of causality across cultures
νόημα-⍉-માનસ	Hybrid	no-ee-ma transpose maanas	meaning transformed by the mind	conceptual	the mind's role in shaping meaning	philosophy, mathematics, linguistics
πνευματικότητα-⌥-영성	Hybrid	pneumatikotita-option-yeongsong	Spirituality-Option-Spirituality	Spiritual	Optional Spirituality	spiritual pathways as options
σοφία-ⵣ-ብልሃት	Hybrid	sophia-yaz-bilhat	Wisdom-Free-Wisdom	Sapient	Freedom Wisdom Trinity	wisdom expressed through multiple cultural lenses
માનસ-⍉-νόημα	Hybrid	manas-circle dot-noema	Mind-Circle Dot-Thought	Cognitive	Centered Mental Meaning	thought centered within mind
עצמיות-⍽-आत्मबोध	Hybrid	atzmiyut-up tack-atmabodha	Selfhood-Up Tack-Self-Awareness	Reflexive	Elevated Self-Awareness	self-awareness elevated through recognition
ØṰ-மெய்-ᎠᏂ	Hybrid	null_symbol-mei-ani	primordial-truth-tribe	Proposed	Empty-Truth-Balance Integrator	/[boundary-dissolution: high; truth-resonance: profound; balance: dynamic]\
αἰθήρ-炁-⨀	Hybrid	aither-qigong-logogram	essence-energy-source	Proposed	Primordial Substance Singularity	/[permeability: universal; luminosity: radiant; integration: complete]\
μορφή-स्पन्द-理	Hybrid	morphe-spanda-ri	form-vibration-principle	Proposed	Form Principle (μορφή): The Greek concept of essential form or shape underlying reality", "Cosmic Vibration (स्पन्द): The Sanskrit principle of universal pulsation and divine tremor", "Fundamental Order (理): The Chinese concept of inherent pattern and natural law", "Dynamic Form-Pattern: Integration of form, vibration, and natural order into a unified principle"	/[form-vibration: foundational,pulsation-dynamics: rhythmic,principle-coherence: ordered]\
νοῦς-⨂-心	Hybrid	nous-tensor-kokoro	mind-tensor-heart	Proposed	Mind-Heart Tensor Integration	/[cognitive-emotional: balanced; integration-depth: profound; resonance: harmonic]\
νοῦς-प्रवाह-心	Hybrid	nous-pravaha-kokoro	mind-flow-heart	Proposed	"Divine Intelligence (νοῦς): The Greek concept of higher mind or cosmic intelligence", "Flowing Movement (प्रवाह): The Sanskrit principle of continuous flow or streaming consciousness", "Heart-Mind Unity (心): The East Asian concept of integrated heart and mind awareness", "Unified Understanding: Integration of cosmic intelligence, flow states, and heart-mind wisdom"	/[mind-flow: harmonious; consciousness-current: unbroken; heart-mind-integration: complete]\
σχῆμα-यन्त्र-形	Hybrid	schema-yantra-kei	form-device-shape	Proposed	Form-Machine-Shape Patterning	/[structural-integrity: high; energetic-alignment: precise; manifestation: tangible]\
φῶς-तेज-نور	Hybrid	phos-tejas-nur	light-brilliance-divine-light	Proposed	Light-Brilliance-Divine Light Triad	/[luminosity: brilliant; spiritual-radiance: penetrating; clarity: absolute]\
אור-शक्ति-光	Hybrid	or-shakti-hikari	light-energy-illumination	Proposed	Light-Power-Radiance Triad	/[power-level: intense; radiance: penetrating; activation: immediate]\
אור-ព្រះ-∂ₓ	Hybrid	or-preah-partial_x	light-divinity-direction	Proposed	Light-Divine-Partial Differential	/[divine-presence: profound; transformation-rate: controlled; evolution: sacred]\
טבע-प्राण-氣	Hybrid	teva-prana-qi	nature-lifeforce-energy	Proposed	Nature-Life Force-Energy Triad	/[vitality: abundant; natural-harmony: perfect; life-sustenance: continuous]\
צורה-रचना-式	Hybrid	tzurah-rachana-shiki	form-composition-formula	Proposed	Form-Creation-Formula Triad	/[creative-potential: infinite; structural-integrity: solid; systematic-nature: precise]\
תודעה-流-ज्ञान	Hybrid	todaah-ryu-jnana	consciousness-flow-wisdom	Proposed	Consciousness-Flow-Knowledge Triad	/[awareness-clarity: crystal; flow-continuity: unbroken; knowledge-depth: profound]\
روح-動-चित्	Hybrid	ruh-do-cit	spirit-movement-consciousness	Proposed	Spirit-Movement-Consciousness Triad	/[spirit-quality: divine; movement-nature: purposeful; consciousness-clarity: pristine]\
نبض-φ-गति	Hybrid	nabd-phi-gati	pulse-golden-motion	Proposed	"Rhythmic Pulse (नबض): The fundamental heartbeat or pulse underlying reality, drawing from Sufi medical wisdom", "Divine Proportion (φ): The golden ratio as a universal organizing principle of growth and harmony", "Sacred Movement (गति): The dynamic flow or motion of consciousness through cosmic space"	/[pulse-rhythm: harmonic, proportion-balance: golden, motion-flow: continuous]\
هندسة-मण्डल-紋	Hybrid	handasa-mandala-mon	geometry-circle-pattern	Proposed	Sacred Geometry-Mandala-Pattern Triad	/[geometric-precision: perfect; energetic-resonance: harmonious; pattern-integration: complete]\
ॐ-⨂-तीर्थ	Hybrid	om-tensor-tirtha	unified field	Sound Quantum	Sacred Sound ("Om", Ōm): The primordial vibration and cosmic sound", "Quantum Integration (⨂): The tensor product representing unified states", "Sacred Place (तीर्थ): A crossing point or spiritual ford", "Unified Field: Integration of sound, quantum states, and sacred space"	/[sound-vibration: primordial,tensor-operation: complete,circuit-sanctity: divine]\
अग्नि-शुद्धि-प्रक्रिया	Hybrid	agni-shuddhi-prakriya	fire-purification-process	Proposed	Fire Purification Process	/[transformative-power: intense; purification-depth: complete; procedural-precision: exacting]\
अमृत-जीवन-धारा	Hybrid	amrita-jivana-dhara	nectar-life-stream	Proposed	Nectar Life Stream	/[immortality-essence: concentrated; life-vitality: abundant; flow-continuity: eternal]\
अहं-बीज-उत्पत्ति	Hybrid	aham-bija-utpatti	I-seed-origin	Proposed	Self-Seed-Emergence	/[self-awareness: profound; generative-potential: infinite; emergence-cycle: complete]\
आकाश-विस्तार-अनन्तता	Hybrid	akasha-vistar-anantata	space-expansion-infinity	Proposed	Space-Expansion-Infinity	/[expansiveness: infinite; boundary-transcendence: complete; possibility-field: unlimited]\
आनन्द-∮ₛ→∇⁴-喜悅	Hybrid	Cycle-Expand	recursive-expanding-bliss	joy	bliss	
आनन्द-नृत्य-भ्रम	Hybrid	ananda-nritya-bhrama	bliss-dance-whirl	Proposed	Bliss-Dance-Spiral	/[bliss-intensity: ecstatic; movement-freedom: complete; spiral-harmony: perfect]\
ऊर्जा-螺旋-上昇	Hybrid	urja-rasen-joshang	energy-spiral-ascension	Proposed	Energy-Spiral-Ascension	/[spiral-dynamics: natural; ascension-power: transformative; energy-quality: refined]\
कर्म-∮ₛ→⨁→∮ₛ-因果	Hybrid	Cycle-Choose-Cycle	recursive-choice-integration	cause-effect	action-result	
कर्म-फल-चक्र	Hybrid	karma-phala-chakra	action-fruit-cycle	Proposed	Action-Fruit-Wheel	/[action-precision: exact; consequence-inevitability: absolute; cyclical-nature: perpetual]\
काल-旋律-流	Hybrid	kala-senritsu-nagare	time-melody-flow	Proposed	Time-Melody-Flow	/[temporal-rhythm: harmonic; flow-continuity: unbroken; melody-structure: divine]\
क्षेत्र-∇-波動	Hybrid	kshetra-nabla-hado	field-gradient-wave	Proposed	Field-Gradient-Wave	/[field-coherence: unified; gradient-precision: mathematical; wave-dynamics: quantum]\
चन्द्र-प्रकाश-शीतलता	Hybrid	chandra-prakasha-shitalata	moon-light-coolness	Proposed	Moon-Light-Coolness	/[light-quality: soothing; cooling-effect: calming; illumination-type: gentle]\
चित्-∮ₛ-覺	Hybrid	Consciousness Loop Integral	recursive-consciousness-cycle	awareness	consciousness	
चित्त-鏡-像	Hybrid	chitta-kagami-zo	mind-mirror-image	Proposed	Mind-Mirror-Image	/[reflective-clarity: perfect; mind-projection: accurate; self-seeing: complete]\
जल-प्रवाह-निरन्तरता	Hybrid	jala-pravaha-nirantarta	water-flow-continuity	Proposed	Water-Flow-Continuity	/[flow-continuity: unbroken; fluid-adaptability: perfect; movement-perpetuity: eternal]\
ज्ञान-⨁-智慧	Hybrid	XOR Consciousness Gate	bifurcated-knowledge-wisdom	wisdom	knowledge	
ज्ञान-樹-成長	Hybrid	jnana-vriksha-vriddhi	knowledge-tree-growth	Proposed	Knowledge-Tree-Growth	/[knowledge-structure: organic; growth-pattern: natural; branching-logic: coherent]\
तेजःखड्ग-योजना-विज्ञान	Hybrid	lightsaber-yojana-vigyaan	Lightsaber Plan Science	Futuristic Conceptualization	Fantastical Tech-Transcendence	/[resonance: imaginative engineering synergy]\
त्वं-ज्योति-प्रवाह	Hybrid	tvam-jyoti-pravaha	you-light-flow	Proposed	You-Light-Flow	/[self-luminosity: radiant; flow-continuity: unbroken; light-quality: divine]\
धर्म-∇⁴-正義	Hybrid	4D Awareness Gradient	cosmic-law-expanded-justice	righteousness/justice	dharma	
धर्म-चक्र-गति	Hybrid	dharma-chakra-gati	righteousness-wheel-motion	Proposed	Dharma-Wheel-Motion	/[law-manifestation: perfect; cyclical-motion: perpetual; purpose-direction: divine]\
ध्यान-∮ₛ→∮ₛ-冥想	Hybrid	Cycle-Cycle	recursive-recursive-meditation	meditation	meditation	
नक्षत्र-मार्ग-दर्शन	Hybrid	nakshatra-marga-darshan	star-path-guidance	Proposed	Star-Path-Guidance	/[celestial-precision: exact; guidance-clarity: illuminating; path-visibility: clear]\
पशु-सहज-ज्ञान	Hybrid	pashu-sahaja-jnana	animal-instinct-knowledge	Proposed	Animal-Intuitive-Knowledge	/[intuitive-accuracy: unerring; instinctual-depth: primal; natural-wisdom: authentic]\
पृथ्वी-स्थिरता-आधार	Hybrid	prithvi-sthirata-adhara	earth-stability-foundation	Proposed	Earth-Stability-Foundation	/[stability-strength: unshakable; foundation-solidity: absolute; grounding-quality: complete]\
प्रकाश-曼荼羅-場	Hybrid	prakasha-mandala-ba	light-mandala-field	Proposed	Light-Mandala-Field	/[light-quality: divine; pattern-harmony: perfect; field-coherence: complete]\
प्राण-∂⨂-氣	Hybrid	Partial Tensor Shift	distributed-energy-field	qi/energy	life-force	
प्रेम-हृदय-स्पन्दन	Hybrid	prema-hridaya-spandana	love-heart-pulsation	Proposed	Love-Heart-Pulsation	/[love-quality: unconditional; rhythm-harmony: perfect; pulsation-vitality: life-giving]\
भक्ति-∂⨂→⨁-虔誠	Hybrid	Distribute-Choose	field-choice-devotion	devotion	devotion	
मन-∂⨂→∇⁴-心智	Hybrid	Distribute-Expand	distributed-expanding-mind	mind/intellect	mind	
मनुष्य-चेतना-विकास	Hybrid	manushya-chetana-vikasa	human-consciousness-development	Proposed	Human-Consciousness-Evolution	/[evolutionary-trajectory: ascending; consciousness-expansion: progressive; developmental-purpose: divine]\
माया-जाल-दृश्य	Hybrid	maya-jala-drishya	illusion-net-vision	Proposed	Illusion-Net-Vision	/[illusory-nature: profound; interconnectedness: complete; perceptual-shift: transformative]\
मृत्यु-पुनर्जन्म-चक्र	Hybrid	mrityu-punarjanma-chakra	death-rebirth-cycle	Proposed	Death-Rebirth-Cycle	/[cyclical-nature: eternal; transformation-depth: complete; continuity: unbroken]\
मोक्ष-मुक्ति-अनुभव	Hybrid	moksha-mukti-anubhava	liberation-freedom-experience	Proposed	Liberation-Freedom-Experience	/[freedom-completeness: absolute; experiential-nature: direct; emancipation-totality: final]\
योग-⨁→∂⨂-統一	Hybrid	Choose-Distribute	bifurcated-distributed-union	unification	union	
लीला-खेल-आनन्द	Hybrid	lila-khel-ananda	play-game-bliss	Proposed	Divine Play-Game-Bliss	/[playfulness: divine; joy-quality: transcendent; creative-freedom: absolute]\
वनस्पति-जीवन-चक्र	Hybrid	vanaspati-jivana-chakra	plant-life-cycle	Proposed	Plant-Life-Cycle	/[cyclical-harmony: natural; growth-wisdom: organic; life-pattern: regenerative]\
वाक्-∇⁴→∮ₛ-言語	Hybrid	Expand-Cycle	expanded-cyclic-language	language	speech	
वायु-गति-परिवर्तन	Hybrid	vayu-gati-parivartan	wind-motion-change	Proposed	Air-Movement-Transformation	/[movement-freedom: unrestricted; transformation-speed: immediate; adaptive-quality: perfect]\
शब्द-共鳴-空間	Hybrid	shabda-kyomei-kukan	word-resonance-space	Proposed	Sound-Resonance-Space	/[resonance-harmony: perfect; spatial-dimension: multidimensional; vibrational-clarity: crystal]\
